,Date,JPYKRW
548,2017-09-08,1049.99
549,2017-09-07,1038.4
550,2017-09-06,1041.75
551,2017-09-05,1035.86
552,2017-09-04,1031.21
553,2017-09-01,1018.31
554,2017-08-31,1020.05
555,2017-08-30,1022.39
556,2017-08-29,1036.5
557,2017-08-28,1025.38
558,2017-08-25,1027.11
559,2017-08-24,1030.7
560,2017-08-23,1037.44
561,2017-08-22,1037.73
562,2017-08-21,1046.04
563,2017-08-18,1048.55
564,2017-08-17,1033.47
565,2017-08-16,1028.79
566,2017-08-14,1041.37
567,2017-08-11,1048.18
568,2017-08-10,1040.78
569,2017-08-09,1038.88
570,2017-08-08,1020.61
571,2017-08-07,1019.63
572,2017-08-04,1017.03
573,2017-08-03,1022.89
574,2017-08-02,1014.07
575,2017-08-01,1016.11
576,2017-07-31,1013.71
577,2017-07-28,1010.48
578,2017-07-27,1001.39
579,2017-07-26,1001.97
580,2017-07-25,1002.38
581,2017-07-24,1006.54
582,2017-07-21,1004.98
583,2017-07-20,1002.63
584,2017-07-19,1004.52
585,2017-07-18,1002.81
586,2017-07-17,1002.89
587,2017-07-14,1008.72
588,2017-07-13,1004.37
589,2017-07-12,1011.82
590,2017-07-11,1007.35
591,2017-07-10,1007.97
592,2017-07-07,1013.47
593,2017-07-06,1022.8
594,2017-07-05,1016.33
595,2017-07-04,1016.78
596,2017-07-03,1017.35
597,2017-06-30,1022.37
598,2017-06-29,1013.7
599,2017-06-28,1020.56
600,2017-06-27,1016.65
601,2017-06-26,1017.54
602,2017-06-23,1023.42
603,2017-06-22,1028.62
604,2017-06-21,1026.01
605,2017-06-20,1022.65
606,2017-06-19,1023.21
607,2017-06-16,1019.83
608,2017-06-15,1029.31
609,2017-06-14,1026.17
610,2017-06-13,1024.93
611,2017-06-12,1030.36
612,2017-06-09,1016.81
613,2017-06-08,1020.96
614,2017-06-07,1028.21
615,2017-06-05,1012.25
616,2017-06-02,1014.13
617,2017-06-01,1007.86
618,2017-05-31,1008.98
619,2017-05-30,1013.92
620,2017-05-29,1008.08
621,2017-05-26,1006.75
622,2017-05-25,1002.33
623,2017-05-24,1004.34
624,2017-05-23,1010.52
625,2017-05-22,1003.99
626,2017-05-19,1009.48
627,2017-05-18,1024.34
628,2017-05-17,996.58
629,2017-05-16,983.13
630,2017-05-15,989.03
631,2017-05-12,993.84
632,2017-05-11,991.23
633,2017-05-10,997.23
634,2017-05-08,1006.44
635,2017-05-04,1007.0
636,2017-05-02,1007.71
637,2017-04-28,1022.27
638,2017-04-27,1018.64
639,2017-04-26,1015.3
640,2017-04-25,1021.6
641,2017-04-24,1025.75
642,2017-04-21,1041.2
643,2017-04-20,1044.08
644,2017-04-19,1047.0
645,2017-04-18,1050.5
646,2017-04-17,1048.36
647,2017-04-14,1051.23
648,2017-04-13,1035.75
649,2017-04-12,1040.76
650,2017-04-11,1036.75
651,2017-04-10,1026.95
652,2017-04-07,1027.64
653,2017-04-06,1019.93
654,2017-04-05,1014.44
655,2017-04-04,1018.52
656,2017-04-03,1004.22
657,2017-03-31,999.64
658,2017-03-30,1004.18
659,2017-03-29,1005.01
660,2017-03-28,1009.02
661,2017-03-27,1006.31
662,2017-03-24,1010.58
663,2017-03-23,1011.77
