,Date,EURKRW
761,2016-11-02,1268.64
762,2016-11-01,1257.97
763,2016-10-31,1253.49
764,2016-10-28,1250.94
765,2016-10-27,1249.85
766,2016-10-26,1240.48
767,2016-10-25,1232.28
768,2016-10-24,1233.89
769,2016-10-21,1240.67
770,2016-10-20,1239.6
771,2016-10-19,1231.65
772,2016-10-18,1239.81
773,2016-10-17,1253.12
774,2016-10-14,1247.98
775,2016-10-13,1252.57
776,2016-10-12,1242.77
777,2016-10-11,1245.45
778,2016-10-10,1239.49
779,2016-10-07,1246.29
780,2016-10-06,1249.09
781,2016-10-05,1249.02
782,2016-10-04,1239.37
783,2016-09-30,1233.94
784,2016-09-29,1233.66
785,2016-09-28,1233.51
786,2016-09-27,1232.22
787,2016-09-26,1246.63
788,2016-09-23,1237.85
789,2016-09-22,1237.52
790,2016-09-21,1244.34
791,2016-09-20,1251.27
792,2016-09-19,1251.82
793,2016-09-13,1264.44
794,2016-09-12,1253.78
795,2016-09-09,1241.93
796,2016-09-08,1231.58
797,2016-09-07,1226.32
798,2016-09-06,1234.97
799,2016-09-05,1233.8
800,2016-09-02,1250.48
801,2016-09-01,1250.18
802,2016-08-31,1244.45
803,2016-08-30,1247.74
804,2016-08-29,1254.17
805,2016-08-26,1259.84
806,2016-08-25,1260.81
807,2016-08-24,1263.49
808,2016-08-23,1267.19
809,2016-08-22,1269.21
810,2016-08-19,1268.23
811,2016-08-18,1256.97
812,2016-08-17,1253.61
813,2016-08-16,1233.09
814,2016-08-12,1236.76
815,2016-08-11,1228.28
816,2016-08-10,1223.8
817,2016-08-09,1224.78
818,2016-08-08,1228.72
819,2016-08-05,1233.76
820,2016-08-04,1240.16
821,2016-08-03,1251.27
822,2016-08-02,1240.12
823,2016-08-01,1237.3
824,2016-07-29,1244.84
825,2016-07-28,1251.06
826,2016-07-27,1248.23
827,2016-07-26,1250.38
828,2016-07-25,1250.53
829,2016-07-22,1253.17
830,2016-07-21,1258.52
831,2016-07-20,1255.86
832,2016-07-19,1258.75
833,2016-07-18,1258.05
834,2016-07-15,1261.78
835,2016-07-14,1262.21
836,2016-07-13,1270.55
837,2016-07-12,1272.79
838,2016-07-11,1269.31
839,2016-07-08,1280.16
840,2016-07-07,1280.93
841,2016-07-06,1288.84
842,2016-07-05,1291.5
843,2016-07-04,1278.99
844,2016-07-01,1279.73
845,2016-06-30,1278.3
846,2016-06-29,1283.35
847,2016-06-28,1293.0
848,2016-06-27,1299.84
849,2016-06-24,1294.93
850,2016-06-23,1306.72
851,2016-06-22,1302.39
852,2016-06-21,1302.13
853,2016-06-20,1313.9
854,2016-06-17,1320.16
855,2016-06-16,1315.47
856,2016-06-15,1316.81
857,2016-06-14,1324.55
858,2016-06-13,1323.22
859,2016-06-10,1317.87
860,2016-06-09,1313.02
861,2016-06-08,1313.04
862,2016-06-07,1315.63
863,2016-06-03,1322.63
864,2016-06-02,1331.31
865,2016-06-01,1330.71
866,2016-05-31,1325.34
867,2016-05-30,1326.62
868,2016-05-27,1319.59
869,2016-05-26,1321.56
870,2016-05-25,1318.34
871,2016-05-24,1332.98
872,2016-05-23,1327.94
873,2016-05-20,1337.22
874,2016-05-19,1337.58
875,2016-05-18,1334.1
876,2016-05-17,1331.37
877,2016-05-16,1333.05
878,2016-05-13,1330.0
879,2016-05-12,1331.08
880,2016-05-11,1332.16
881,2016-05-10,1333.53
882,2016-05-09,1331.61
883,2016-05-04,1327.67
884,2016-05-03,1322.18
885,2016-05-02,1307.0
886,2016-04-29,1298.23
887,2016-04-28,1292.99
888,2016-04-27,1299.98
889,2016-04-26,1298.02
890,2016-04-25,1292.3
891,2016-04-22,1289.64
892,2016-04-21,1281.64
893,2016-04-20,1287.09
894,2016-04-19,1283.92
895,2016-04-18,1297.47
896,2016-04-15,1293.11
897,2016-04-14,1301.01
898,2016-04-12,1308.51
899,2016-04-11,1306.55
900,2016-04-08,1313.49
901,2016-04-07,1313.37
902,2016-04-06,1316.02
903,2016-04-05,1318.92
904,2016-04-04,1307.67
905,2016-04-01,1313.28
906,2016-03-31,1295.04
907,2016-03-30,1298.98
908,2016-03-29,1303.26
909,2016-03-28,1302.19
910,2016-03-25,1306.42
911,2016-03-24,1304.12
912,2016-03-23,1300.18
913,2016-03-22,1298.43
914,2016-03-21,1304.54
915,2016-03-18,1309.44
916,2016-03-17,1320.35
917,2016-03-16,1322.88
918,2016-03-15,1322.21
919,2016-03-14,1320.26
920,2016-03-11,1326.06
921,2016-03-10,1317.14
922,2016-03-09,1333.22
923,2016-03-08,1331.53
924,2016-03-07,1319.23
925,2016-03-04,1319.98
926,2016-03-03,1320.88
927,2016-03-02,1333.73
928,2016-02-29,1350.75
929,2016-02-26,1362.99
930,2016-02-25,1367.95
931,2016-02-24,1357.58
932,2016-02-23,1359.82
933,2016-02-22,1365.49
934,2016-02-19,1369.37
935,2016-02-18,1368.93
936,2016-02-17,1369.58
937,2016-02-16,1356.67
938,2016-02-15,1352.31
939,2016-02-12,1361.54
940,2016-02-11,1360.15
941,2016-02-05,1339.64
942,2016-02-04,1334.41
943,2016-02-03,1327.87
944,2016-02-02,1319.14
945,2016-02-01,1305.31
946,2016-01-29,1312.42
947,2016-01-28,1314.06
948,2016-01-27,1306.7
949,2016-01-26,1307.43
950,2016-01-25,1297.01
951,2016-01-22,1299.36
952,2016-01-21,1322.35
953,2016-01-20,1333.53
954,2016-01-19,1311.71
955,2016-01-18,1319.32
956,2016-01-15,1323.26
957,2016-01-14,1325.08
958,2016-01-13,1303.21
959,2016-01-12,1319.44
960,2016-01-11,1311.83
961,2016-01-08,1303.86
962,2016-01-07,1295.38
963,2016-01-06,1287.96
964,2016-01-05,1283.71
965,2016-01-04,1299.65
966,2015-12-31,1286.18
967,2015-12-30,1283.14
968,2015-12-29,1283.25
969,2015-12-28,1279.1
970,2015-12-24,1282.17
971,2015-12-23,1284.39
972,2015-12-22,1278.26
973,2015-12-21,1278.65
974,2015-12-18,1281.8
975,2015-12-17,1282.61
976,2015-12-16,1287.99
977,2015-12-15,1301.93
978,2015-12-14,1298.72
979,2015-12-11,1295.16
980,2015-12-10,1296.38
981,2015-12-09,1290.03
982,2015-12-08,1279.82
983,2015-12-07,1264.13
984,2015-12-04,1264.33
985,2015-12-03,1231.92
986,2015-12-02,1235.64
987,2015-12-01,1228.06
988,2015-11-30,1224.7
989,2015-11-27,1227.67
990,2015-11-26,1219.96
991,2015-11-25,1219.85
992,2015-11-24,1229.6
993,2015-11-23,1233.36
994,2015-11-20,1234.56
995,2015-11-19,1242.69
996,2015-11-18,1249.69
